Rank,Team,2025,Last 3,Last 1,Home,Away,2024
85,Villanova,+5.0,+4.7,+6.0,+4.7,+5.5,+1.8
87,Arizona St,+4.8,+7.3,-4.0,+6.3,+2.0,-1.6
88,Mississippi,+4.8,+2.7,-1.0,+4.8,--,+3.1
88,Santa Clara,+4.8,+5.3,+14.0,+6.0,0.0,+3.2
90,UCSD,+4.8,+5.0,+4.0,+11.0,-1.5,+7.9
90,Hofstra,+4.8,+6.3,-3.0,--,+4.8,-0.5
90,Richmond,+4.8,+5.3,+3.0,+4.8,--,-4.2
93,Rutgers,+4.7,+0.3,+1.0,+5.4,+1.0,-0.7
93,Providence,+4.7,+9.3,+11.0,+10.3,-1.0,-0.3
93,W Michigan,+4.7,+2.7,+19.0,+14.3,-5.0,-2.4
96,N Iowa,+4.6,+1.3,-10.0,+8.3,-10.0,+3.7
96,Temple,+4.6,-0.3,-4.0,+6.8,-4.0,-0.8
96,Buffalo,+4.6,+4.0,+10.0,+6.0,+2.5,-3.9
99,New Mexico St,+4.5,+4.5,+1.0,+4.5,--,-3.2
99,UConn,+4.5,-1.3,+7.0,+7.2,-9.0,+5.6
99,Harvard,+4.5,-2.7,-4.0,+8.5,+2.5,-3.2
102,Michigan St,+4.4,+2.7,+12.0,+5.5,0.0,+6.3
103,Butler,+4.3,-0.7,+5.0,+9.3,-0.7,+0.7
104,NC Wilmington,+4.3,+5.7,+4.0,+6.5,+2.0,+1.6
104,Vermont,+4.3,+3.0,+2.0,--,+4.3,-0.9
106,Maryland,+4.2,+3.0,+10.0,+0.3,+8.0,+5.1
106,Fresno St,+4.2,+6.0,+5.0,+4.2,--,-2.3
108,San Francisco,+4.0,+6.0,+5.0,+2.3,+6.5,+2.3
108,Stanford,+4.0,+1.3,-12.0,+4.0,--,+0.1
110,St Bonaventure,+3.8,+5.7,+10.0,+5.3,-2.0,-2.0
111,Tenn Tech,+3.8,+4.7,+4.0,+4.0,+3.7,-2.6
112,NC A&T,+3.7,+3.7,-1.0,+13.0,-1.0,-2.9
112,W Kentucky,+3.7,+3.7,+5.0,+2.0,+7.0,+0.7
112,Hawai'i,+3.7,+1.7,-8.0,+3.2,+6.0,-1.4
112,Kansas,+3.7,+3.3,+3.0,+14.7,-7.3,+2.9
116,UAB,+3.5,+8.3,+7.0,+7.5,-4.5,-0.8
116,San Jose St,+3.5,+5.7,+7.0,+7.0,+2.3,-3.2
118,Boise St,+3.4,-1.3,-1.0,+4.5,-1.0,+4.7
119,DePaul,+3.3,+5.0,+12.0,+3.3,--,-2.6
119,Texas A&M,+3.3,-2.7,+13.0,+6.0,-10.0,+3.4
119,Liberty,+3.3,+3.3,-2.0,+6.0,-2.0,+2.2
122,Pittsburgh,+3.3,+5.0,+2.0,+8.8,-10.5,+4.9
123,UC Davis,+3.2,+2.0,+14.0,+10.7,-4.3,-3.1
123,Mississippi St,+3.2,-2.7,+6.0,+10.3,-4.0,+3.4
125,West Virginia,+3.1,-0.3,-2.0,+6.8,-6.0,-0.4
126,Fordham,+3.0,+4.0,+7.0,+4.7,-2.0,-2.7
126,Nevada,+3.0,+1.3,+9.0,+3.8,-1.0,+3.4
126,C Connecticut,+3.0,+7.3,-3.0,-3.0,+4.5,+4.4
129,S Alabama,+2.8,+6.3,+2.0,+12.0,+1.0,+2.3
129,New Mexico,+2.8,-0.3,+1.0,+6.0,-0.3,+4.6
131,Southern Miss,+2.8,+6.0,-9.0,--,+2.8,-2.5
132,Howard,+2.5,+7.0,-3.0,-2.0,+7.0,-3.8
132,Utah,+2.5,+0.3,+4.0,+2.5,--,+1.5
134,N Texas,+2.4,+1.7,+16.0,+17.5,-7.7,+4.1
134,Creighton,+2.4,+10.0,+1.0,+10.7,-10.0,+1.1
134,Illinois Chicago,+2.4,-1.0,+1.0,+13.0,-0.3,+0.1
134,Towson,+2.4,+3.7,+3.0,+14.0,-0.5,+2.3
138,Columbia,+2.3,+1.7,+14.0,+7.0,-2.3,-0.2
139,Kent St,+2.3,-0.3,+3.0,+2.4,+2.0,+0.3
140,N Dakota St,+2.3,+4.3,0.0,+12.5,-8.0,-0.1
141,S Illinois,+2.2,+1.3,-7.0,+9.0,+0.5,-1.5
142,E Michigan,+2.2,-1.7,-25.0,+6.0,-1.7,-0.1
143,UC Riverside,+2.0,+4.7,+15.0,+11.0,-2.5,-0.5
143,Florida Atlantic,+2.0,+4.3,+4.0,+3.5,+1.0,+0.5
143,Portland St,+2.0,+2.0,+3.0,+3.0,+1.5,+1.3
143,South Carolina,+2.0,+4.7,0.0,+3.0,0.0,+0.3
143,Cal Baptist,+2.0,+2.0,-5.0,+1.3,+5.0,-0.1
143,Baylor,+2.0,+0.7,-1.0,+3.0,-1.0,+3.6
143,Illinois St,+2.0,+1.7,+17.0,+13.0,-5.3,+0.7
143,Northeastern,+2.0,-3.3,+4.0,-6.5,+6.3,-1.4
151,Samford,+1.9,+1.0,-1.0,+2.5,+1.6,+3.3
152,Valparaiso,+1.8,+9.3,+3.0,+7.3,-6.5,-0.8
152,Washington St,+1.8,+0.7,+10.0,+2.3,0.0,-2.4
154,Yale,+1.6,-2.0,-6.0,-5.0,+4.2,+4.9
155,Penn,+1.5,+2.3,+11.0,+9.0,-1.0,-1.7
155,Wright St,+1.5,+3.3,0.0,-15.0,+7.0,-2.1
155,E Texas A&M,+1.5,+2.7,+19.0,--,+1.5,-4.3
158,Xavier,+1.4,+7.0,+2.0,0.0,+3.3,+2.1
159,Boston U,+1.3,+6.0,+4.0,-1.0,+2.5,-1.2
160,S Dakota St,+1.3,+0.3,+13.0,+13.0,-2.7,+2.1
161,LIU,+1.1,+2.3,+19.0,-8.0,+2.7,-0.3
162,Cornell,+1.0,+6.3,+4.0,+3.0,-0.3,+0.6
162,Oregon,+1.0,+0.7,-11.0,+4.0,-11.0,+2.0
162,Siena,+1.0,-0.7,+4.0,+0.7,+1.3,+2.0
162,Indiana St,+1.0,+1.3,+19.0,+11.5,-6.0,+0.5
162,Dayton,+1.0,-2.3,-5.0,+4.0,-5.0,+2.5
162,Kennesaw St,+1.0,+1.0,+1.0,-4.0,+3.5,+1.0
162,SC Upstate,+1.0,-2.7,-4.0,-4.0,+2.3,-7.6
169,UNLV,+0.8,0.0,-10.0,+3.5,-4.5,-1.1
170,Alabama,+0.8,-2.3,-7.0,+4.0,-1.3,+2.6
171,Charleston,+0.7,+2.7,+8.0,+4.0,-0.6,+1.4
171,Boston College,+0.7,-3.0,-1.0,+3.3,-1.3,-1.3
173,Arkansas St,+0.7,-3.7,+5.0,+5.0,-0.2,+2.3
174,UMass,+0.6,+2.0,+5.0,-0.5,+2.0,-0.2
175,UC Irvine,+0.5,+2.3,+10.0,+1.7,-3.0,+5.1
176,Grand Canyon,+0.4,+4.3,+3.0,+1.8,-5.0,+1.1
177,Queens,+0.3,+0.3,+2.0,-0.5,+0.8,-0.6
178,Pacific,+0.2,-2.0,+13.0,+8.0,-1.8,-3.9
178,Lehigh,+0.2,-0.7,-3.0,+1.5,-0.7,+0.8
180,J Madison,+0.2,+8.7,+12.0,+2.5,-1.0,-1.7
181,FGCU,0.0,+4.0,+3.0,+1.3,-2.0,+1.4
181,Pepperdine,0.0,+0.7,-11.0,+0.7,-2.0,-2.3
181,Hampton,0.0,-1.7,-2.0,--,0.0,+0.1
181,SIU Edward,0.0,+0.3,+24.0,-9.0,+1.8,+0.9
181,Charlotte,0.0,-0.7,-9.0,+1.7,-2.5,-2.1
186,Air Force,-0.3,+9.3,+14.0,+2.2,-15.0,-5.8
187,Duquesne,-0.3,-0.3,-4.0,+0.5,-2.0,-1.5
187,Tulane,-0.3,-10.3,+1.0,+4.3,-5.0,+1.8
189,UT Arlington,-0.4,-1.7,-5.0,+9.0,-2.8,+0.4
190,Oregon St,-0.6,-3.7,-5.0,+4.0,-4.0,+5.1
191,Quinnipiac,-0.6,-0.3,-2.0,-0.5,-0.7,+0.4
191,Montana,-0.6,+1.0,-3.0,-3.0,+1.0,-1.3
193,CS Fullerton,-0.7,+3.7,+2.0,+8.0,-2.4,-7.2
194,Montana St,-0.8,+1.7,+8.0,-2.0,-0.5,+0.5
195,Loyola Chi,-0.8,-6.7,-12.0,-2.5,+2.5,+0.8
196,San Diego,-1.0,-3.3,-4.0,-1.0,--,-4.5
197,N Illinois,-1.2,-4.3,+12.0,+13.0,-4.8,-4.5
198,La Salle,-1.4,-7.0,-6.0,+2.7,-7.5,-3.0
