Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Vanderbilt,+20.6,+19.0,+27.0,+21.8,+16.0,+4.5
2,Indiana,+19.6,+14.7,+16.0,+20.0,+18.0,-0.8
3,Illinois,+19.4,+15.7,+11.0,+22.5,+1.0,+5.5
4,Duke,+18.7,+23.3,+34.0,+26.3,+8.7,+10.8
5,Tennessee,+18.5,+20.3,+26.0,+17.0,+26.0,+4.4
6,UConn,+18.0,+8.3,+16.0,+19.4,+11.0,+3.3
7,Iowa,+17.4,+18.7,+16.0,+17.4,,+1.9
8,Richmond,+17.0,+18.7,+32.0,+17.0,,-1.9
9,Louisville,+16.3,+9.0,+16.0,+20.4,-4.0,+6.5
10,Saint Mary's,+16.2,+18.7,+8.0,+16.2,,+6.1
11,Gonzaga,+15.3,+16.0,+3.0,+19.0,+11.7,+9.4
12,Georgia,+14.6,+11.0,-1.0,+18.2,+5.5,+5.0
13,Iowa St,+14.2,+10.3,-2.0,+18.3,+8.0,+5.6
14,Virginia,+14.2,+10.0,-2.0,+20.8,+1.0,+0.3
15,Santa Clara,+13.6,+15.0,+23.0,+12.3,+19.0,+6.1
16,Butler,+13.3,+4.7,+2.0,+22.0,+4.7,-0.8
17,Houston,+13.2,+9.7,+3.0,+18.0,+3.5,+10.1
17,Kentucky,+13.2,+13.7,+30.0,+25.8,-12.0,+2.3
19,Arkansas,+12.8,+13.3,+28.0,+14.8,+3.0,+1.2
20,Mississippi,+12.4,+9.0,+8.0,+12.4,,+2.1
21,Arizona,+12.2,+11.0,+28.0,+21.3,+3.0,+5.5
22,Saint Louis,+12.0,+13.3,+15.0,+12.0,,+0.6
22,Michigan,+12.0,+5.3,+12.0,+18.5,+7.7,+3.8
22,McNeese,+12.0,+17.3,+23.0,+21.0,+9.0,+6.2
22,Miami,+12.0,+9.3,+31.0,+16.4,-10.0,-4.2
26,Ohio St,+11.6,+9.0,+25.0,+11.6,,+1.7
27,Clemson,+11.6,+5.7,+1.0,+21.0,-1.0,+5.1
28,Michigan St,+11.2,+18.7,+16.0,+9.8,+17.0,+4.2
28,Cal Baptist,+11.2,+13.3,+18.0,+13.3,+3.0,+1.2
30,North Carolina,+11.0,+11.7,+7.0,+11.0,,+1.8
31,Florida,+10.8,+11.3,+27.0,+16.0,+3.0,+7.0
32,Hawai'i,+10.7,+8.0,+1.0,+14.2,-7.0,-1.4
33,Auburn,+10.5,+9.0,0.0,+16.8,-2.0,+7.4
34,Yale,+10.4,+8.7,+9.0,+4.0,+13.0,+4.9
35,S Florida,+10.4,+14.0,+1.0,+20.0,+4.0,-1.2
35,LSU,+10.4,+8.0,+13.0,+10.4,,+1.0
37,High Point,+10.3,+12.3,+6.0,+18.0,+6.5,+7.7
37,Liberty,+10.3,+10.3,+8.0,+11.5,+8.0,+6.3
37,UCLA,+10.3,+13.7,+19.0,+13.0,-3.0,+6.2
40,Texas,+10.2,+7.7,-5.0,+16.3,-2.0,+3.1
41,Nebraska,+10.0,+7.0,+10.0,+13.0,+7.0,+0.9
42,Villanova,+9.8,+15.0,+9.0,+16.7,-0.5,+4.3
43,Minnesota,+9.7,-1.3,-7.0,+16.8,-4.5,-2.5
43,Purdue,+9.7,+12.3,+23.0,+10.7,+8.7,+4.7
45,NC State,+9.6,+4.0,-2.0,+12.5,-2.0,+1.3
46,Florida St,+9.4,+5.7,+11.0,+11.0,+3.0,+0.8
47,Missouri,+9.3,+11.7,+11.0,+8.0,+16.0,+7.0
47,Dayton,+9.3,+11.7,+24.0,+14.5,-1.0,+1.4
47,Kansas,+9.3,+2.3,+7.0,+16.3,+2.3,+3.7
50,Syracuse,+9.2,+1.7,-3.0,+14.7,+1.0,-0.8
51,SMU,+9.0,+15.7,+8.0,+9.0,,+5.2
51,DePaul,+9.0,+11.3,+8.0,+9.0,,+1.0
51,Texas A\&M,+9.0,+14.0,+28.0,+13.6,-14.0,+2.6
51,Baylor,+9.0,+9.0,+8.0,+9.3,+8.0,+1.2
55,G Washington,+8.6,+10.0,+8.0,+14.0,+1.3,+2.7
56,Miami OH,+8.5,+14.0,+20.0,+6.7,+14.0,+3.7
56,Northwestern,+8.5,-1.3,+2.0,+18.3,-1.3,0.0
58,N Iowa,+8.4,+8.3,+10.0,+8.0,+10.0,+1.3
59,BYU,+8.2,-0.7,+12.0,+15.0,+3.7,+6.4
59,Stanford,+8.2,+8.0,+4.0,+8.2,,+2.6
59,Utah St,+8.2,+10.7,+18.0,+7.0,+9.0,+4.5
62,Cincinnati,+8.2,+4.0,+14.0,+9.0,+4.0,+2.5
63,Oklahoma St,+8.0,+5.3,+15.0,+8.0,,-1.5
63,USC,+8.0,+5.3,+2.0,+8.0,+8.0,+2.1
65,West Virginia,+7.9,+3.3,-8.0,+11.2,-0.5,+3.7
66,South Carolina,+7.8,+2.0,-2.0,+14.0,-4.5,-1.9
67,Colorado St,+7.6,+4.7,-8.0,+6.5,+12.0,+4.0
67,Virginia Tech,+7.6,+13.3,+8.0,+11.0,-6.0,-1.0
69,S Dakota St,+7.5,+8.3,+34.0,+34.0,-1.3,+1.9
70,Wisconsin,+7.4,+2.7,-12.0,+12.3,-12.0,+6.0
70,George Mason,+7.4,+11.3,+19.0,+4.5,+19.0,+3.6
72,W Kentucky,+7.3,+7.3,+8.0,+10.5,+1.0,-2.4
73,Grand Canyon,+7.2,+5.0,+10.0,+11.3,-9.0,+6.5
74,Texas St,+7.2,+9.7,+2.0,+10.3,+1.0,-1.0
75,Providence,+7.0,+2.3,+1.0,+12.0,+2.0,-1.1
