Rank,Team,2025,Last 3,Last 1,Home,Away,2024
101,St Bonaventure,38.6,36.3,37.0,39.8,34.0,34.5
103,Columbia,38.5,43.7,53.0,40.3,36.7,36.4
104,Georgetown,38.4,39.3,44.0,40.0,32.0,34.1
104,Santa Clara,38.4,38.7,38.0,38.3,39.0,39.2
104,FGCU,38.4,41.0,41.0,41.3,34.0,35.1
104,Wichita St,38.4,35.0,28.0,41.3,27.0,33.6
104,Washington St,38.4,44.7,54.0,42.0,24.0,39.0
109,DePaul,38.3,43.0,37.0,38.3,--,34.6
109,Portland,38.3,41.0,34.0,39.8,31.0,33.0
109,South Carolina,38.3,35.0,34.0,41.3,32.5,31.5
112,Cal Baptist,38.2,40.3,40.0,40.5,29.0,33.2
113,Hawai'i,38.2,34.3,35.0,40.6,26.0,31.7
113,Cal Poly,38.2,40.7,46.0,--,38.2,37.4
113,Tarleton St,38.2,37.7,37.0,40.5,37.0,29.7
116,Milwaukee,38.0,35.0,30.0,45.0,34.5,36.4
117,Stanford,37.8,39.0,41.0,37.8,--,34.2
117,William & Mary,37.8,36.7,35.0,--,37.8,37.9
119,N Colorado,37.8,36.7,39.0,--,37.8,38.0
120,New Orleans,37.7,36.0,34.0,--,37.7,30.8
121,Illinois St,37.6,41.0,55.0,44.5,33.0,35.7
122,Middle Tenn,37.5,38.0,41.0,--,37.5,36.1
122,California,37.5,37.3,47.0,38.2,34.0,33.5
122,UCSD,37.5,38.3,47.0,30.5,44.5,36.8
122,Fairfield,37.5,42.0,56.0,35.0,38.8,31.5
122,Cincinnati,37.5,34.7,42.0,38.6,32.0,33.6
122,S Dakota St,37.5,37.3,53.0,53.0,32.3,38.2
128,Wyoming,37.4,37.3,39.0,38.8,32.0,30.1
129,Old Dominion,37.3,35.3,34.0,37.5,37.3,29.7
129,Penn St,37.3,36.0,31.0,36.7,38.0,36.9
131,UMass,37.3,29.0,34.0,43.5,29.0,32.7
132,George Mason,37.2,38.0,52.0,33.5,52.0,32.9
133,Alabama St,37.2,45.0,37.0,--,37.2,33.3
134,UCLA,37.0,36.0,41.0,39.4,25.0,36.2
134,Omaha,37.0,39.0,37.0,42.0,35.8,36.8
134,Florida Intl,37.0,37.0,45.0,45.0,33.0,31.5
134,Tulsa,37.0,37.3,33.0,33.0,38.3,32.6
138,Saint Joseph's,36.6,36.0,40.0,37.5,36.0,34.9
138,SF Austin,36.6,33.7,24.0,40.5,34.0,29.4
138,N Florida,36.6,41.7,44.0,--,36.6,37.8
