Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Santa Clara,24.8,23.7,15.0,26.0,20.0,33.2
2,Minnesota,25.7,28.3,34.0,22.0,33.0,32.2
3,UConn,26.0,29.3,21.0,24.8,32.0,32.4
4,West Virginia,26.4,28.7,36.0,24.8,30.5,28.9
5,Tennessee,26.5,25.7,30.0,25.8,30.0,29.7
6,Duke,26.6,23.3,18.0,22.5,32.0,30.2
7,Syracuse,26.6,34.0,37.0,21.3,34.5,34.7
8,UCLA,26.7,22.3,22.0,26.4,28.0,30.1
8,Houston,26.7,31.3,34.0,22.8,34.5,26.2
10,N Texas,26.8,31.3,26.0,23.0,29.3,27.6
11,N Iowa,27.0,26.0,25.0,27.5,25.0,34.1
11,Cal Baptist,27.0,27.0,22.0,27.3,26.0,32.0
13,Indiana,27.2,25.3,18.0,24.5,38.0,36.2
14,Marist,27.3,26.7,22.0,22.5,32.0,30.4
14,McNeese,27.3,24.0,17.0,16.0,31.0,28.8
16,Iowa,27.4,26.0,24.0,27.4,--,37.2
17,Hawai'i,27.5,26.3,34.0,26.4,33.0,33.1
18,Clemson,27.6,31.3,40.0,22.0,35.0,31.0
19,Saint Mary's,28.2,27.7,39.0,28.2,--,28.2
19,Mississippi,28.2,28.0,23.0,28.2,--,34.3
21,Texas St,28.3,26.0,26.0,26.0,33.0,34.8
22,Towson,28.8,27.7,21.0,26.0,29.5,33.4
23,New Mexico,29.0,36.3,39.0,21.7,36.3,32.9
23,UT Arlington,29.0,29.7,27.0,25.0,30.0,35.7
25,North Carolina,29.2,28.7,31.0,29.2,--,36.2
26,Cincinnati,29.3,30.7,28.0,29.6,28.0,31.1
26,Kansas,29.3,34.0,32.0,24.7,34.0,33.6
26,DePaul,29.3,31.7,29.0,29.3,--,33.5
29,Kentucky,29.5,27.7,20.0,20.0,48.5,37.1
29,Texas,29.5,31.0,39.0,26.5,35.5,33.2
29,New Mexico St,29.5,29.5,32.0,29.5,--,29.7
32,Illinois,29.6,30.3,31.0,27.7,41.0,34.4
33,Stanford,29.6,31.0,37.0,29.6,--,31.6
33,Michigan St,29.6,25.0,25.0,30.3,27.0,31.7
35,George Mason,29.8,26.7,33.0,29.0,33.0,29.3
36,S Dakota St,30.0,29.0,19.0,19.0,33.7,36.4
36,Austin Peay,30.0,30.3,33.0,--,30.0,36.4
