Rank,Team,2025,Last 3,Last 1,Home,Away,2024
101,Washington,37.0,37.0,32.0,35.3,39.5,39.2
101,Oklahoma,37.0,42.7,20.0,31.8,47.5,38.4
104,Texas,37.2,38.0,48.0,33.0,45.5,38.2
105,Tenn Tech,37.3,36.0,43.0,28.0,40.3,38.4
106,LIU,37.3,32.0,21.0,40.0,36.8,33.9
106,Presbyterian,37.3,39.3,45.0,38.5,36.8,36.0
108,S Alabama,37.3,37.3,44.0,30.0,38.8,33.5
108,Arkansas,37.3,41.3,42.0,38.2,33.0,35.1
110,Oregon,37.4,41.0,47.0,35.0,47.0,37.1
110,Quinnipiac,37.4,37.0,38.0,33.5,40.0,37.7
112,G Washington,37.4,39.3,38.0,31.0,46.0,36.7
113,Notre Dame,37.5,38.0,32.0,40.0,32.5,36.8
113,Richmond,37.5,36.0,37.0,37.5,,37.6
113,Arizona St,37.5,38.7,52.0,33.0,46.5,39.8
116,San Francisco,37.6,32.7,38.0,36.7,39.0,38.3
117,Maryland,37.7,40.7,37.0,40.0,35.3,35.8
117,Hawai'i,37.7,40.7,49.0,39.8,27.0,38.2
117,Mt St Mary's,37.7,41.3,45.0,35.0,38.2,36.2
120,Charleston,37.7,33.3,30.0,33.5,39.4,37.7
121,Furman,37.8,36.3,47.0,37.5,38.0,38.5
121,UMBC,37.8,38.3,42.0,28.0,41.0,40.6
121,Pepperdine,37.8,38.0,39.0,38.0,37.0,39.6
124,Illinois St,37.8,38.3,22.0,27.5,44.7,38.3
124,Southern Miss,37.8,36.0,38.0,,37.8,38.3
124,Georgetown,37.8,40.0,48.0,39.0,33.0,35.5
127,Marshall,37.8,37.7,37.0,38.7,37.0,37.4
127,Mercyhurst,37.8,43.0,42.0,48.0,35.8,39.4
127,Oklahoma St,37.8,44.3,49.0,37.8,,41.0
127,E Michigan,37.8,42.3,54.0,39.0,36.7,39.8
131,Xavier,37.9,35.0,40.0,41.0,33.7,38.9
132,High Point,38.0,38.0,40.0,30.0,42.0,38.5
