Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NC State,52.6,50.0,41.0,55.5,41.0,34.9
1,S Florida,52.6,51.0,50.0,53.0,52.3,38.4
3,Akron,51.8,53.0,57.0,56.0,49.8,44.1
4,LSU,51.8,53.7,49.0,51.8,,39.7
4,Vanderbilt,51.8,52.3,49.0,51.5,53.0,40.2
6,Saint Louis,51.6,51.0,47.0,51.6,,38.2
7,Kansas St,50.8,49.7,50.0,50.3,52.0,37.0
8,Colorado,50.8,52.7,52.0,50.8,,37.8
9,St John's,50.6,49.0,37.0,54.0,37.0,41.3
10,Portland St,50.0,50.0,51.0,51.0,49.5,38.2
11,Murray St,49.7,45.3,43.0,52.7,47.5,37.4
12,Providence,49.7,51.7,45.0,54.3,45.0,37.8
13,Colorado St,49.4,47.0,48.0,50.0,47.0,39.8
14,Marshall,49.3,50.0,42.0,52.0,46.7,39.5
15,Auburn,48.8,47.0,47.0,52.3,42.0,43.4
16,SMU,48.7,51.3,43.0,48.7,,41.4
17,Oklahoma St,48.7,51.7,48.0,48.7,,39.1
18,Montana,48.6,48.3,42.0,47.5,49.3,38.7
18,Florida St,48.6,46.0,58.0,51.8,36.0,41.4
20,Belmont,48.4,49.7,58.0,47.7,49.5,40.8
21,UCF,48.3,46.0,39.0,48.8,47.5,40.5
22,Duke,48.3,43.7,41.0,48.3,48.3,42.3
23,CS Fullerton,48.2,52.7,60.0,49.0,48.0,33.8
24,Missouri,47.8,47.3,49.0,48.2,46.0,42.5
25,North Carolina,47.8,46.0,35.0,47.8,,42.1
26,Louisville,47.7,49.0,54.0,48.0,46.0,40.4
26,Oklahoma,47.7,46.0,37.0,50.0,43.0,42.3
26,California,47.7,47.3,44.0,44.8,62.0,39.3
29,USC,47.6,40.7,36.0,51.7,41.5,39.0
29,Iowa St,47.6,45.7,40.0,51.7,41.5,41.8
31,G Washington,47.6,44.0,43.0,47.0,48.3,38.0
32,Tulsa,47.3,47.7,51.0,51.0,46.0,36.3
33,Nebraska,47.2,47.7,41.0,46.7,47.7,39.9
34,Virginia Tech,47.0,44.3,46.0,47.3,46.0,35.3
35,Miami,46.7,45.7,47.0,48.2,39.0,39.4
36,FGCU,46.6,46.0,52.0,51.3,39.5,36.9
37,Hofstra,46.5,46.7,45.0,,46.5,33.0
38,Kent St,46.4,39.7,49.0,47.4,44.0,36.7
39,Texas A\&M,46.3,46.3,54.0,48.8,34.0,39.3
40,Buffalo,46.2,43.7,47.0,51.3,38.5,38.7
41,Gonzaga,46.2,48.3,50.0,53.7,38.7,44.2
41,Wake Forest,46.2,50.7,42.0,46.7,45.7,37.5
43,Stanford,46.0,40.7,28.0,46.0,,39.2
43,Vermont,46.0,47.7,41.0,,46.0,33.2
45,UNLV,45.7,44.7,37.0,48.5,40.0,36.3
46,Illinois,45.6,44.3,45.0,45.8,44.0,43.4
47,Toledo,45.5,48.3,45.0,45.3,46.0,41.0
48,Iowa,45.4,46.3,53.0,45.4,,42.7
49,Arkansas,45.3,47.7,68.0,49.0,27.0,39.2
50,Cleveland St,45.2,48.3,46.0,48.0,44.6,36.5
51,Georgia,45.1,36.0,40.0,50.2,32.5,38.8
52,Miami OH,45.0,43.3,55.0,48.0,36.0,39.2
52,BYU,45.0,52.0,53.0,45.5,44.7,41.0
52,W Kentucky,45.0,45.0,44.0,42.5,50.0,40.2
52,Kennesaw St,45.0,45.0,43.0,48.0,43.5,39.0
52,New Mexico St,45.0,45.0,41.0,45.0,,34.0
